FontName,Font Type
WarnockPro-SemiboldCapt,otf
WarnockPro-SemiboldDisp,otf
WarnockPro-SemiboldIt,otf
WarnockPro-SemiboldItCapt,otf
WarnockPro-SemiboldItDisp,otf
WarnockPro-SemiboldItSubh,otf
WarnockPro-SemiboldSubh,otf
WarnockPro-Subh,otf
WillowStd,otf
WINGDNG2,TTF
WINGDNG3,TTF
WoodtypeOrnamentsStd,otf
YuGothB,ttc
YuGothL,ttc
YuGothM,ttc
YuGothR,ttc
YUMIN,TTF
YUMINDB,TTF
YUMINL,TTF
ZebrawoodStd-Fill,otf
ZebrawoodStd-Regular,otf
ZWAdobeF,TTF
